file,line,match,tag,snippet
app/style/page.tsx,4373,#E8735A,,{ product: 'dermaGRAFT™ / SkinMatrix™'; division: 'Dermatology'; color: '#E8735A'; tier: 'Clinical' };
app/style/page.tsx,4657,#DF512B,,division: 'Wound Care (Orange #DF512B)';
app/style/page.tsx,4661,#D2A62C,,division: 'Aesthetics (Gold #D2A62C)';
app/style/page.tsx,4665,#C03227,,division: 'Tissue Technology (Red/Accent #C03227)';
app/style/page.tsx,4669,#E8735A,,division: 'Dermatology (Coral #E8735A)';
app/style/page.tsx,4673,#2D5782,,division: 'International (Blue #2D5782)';
app/style/page.tsx,4888,#221010 | #2D1B1B | rgba(255;255;255;0.12) | linear-gradient(135deg; #221010; #2D1B1B),,<div style={{ background: 'linear-gradient(135deg; #221010; #2D1B1B)'; borderRadius: 18; padding: 32; color: c.white; border: '1px solid rgba(255;255;255;0.12)'; position: 'relative'; overflow: 'hidden' }}>
app/style/page.tsx,4889,rgba(255;255;255;0.08),,<div style={{ position: 'absolute'; top: -60; right: -40; width: 200; height: 200; borderRadius: '50%'; background: 'rgba(255;255;255;0.08)'; filter: 'blur(10px)' }} />
app/style/page.tsx,4893,rgba(255;255;255;0.75),,<p style={{ ...sans; fontSize: 14; color: 'rgba(255;255;255;0.75)'; maxWidth: 380 }}>Use glass for spotlighted cards; hero modals; and system overlays. Keep content centered and breathing with 32px padding.</p>
app/style/page.tsx,4896,rgba(255;255;255;0.35),,<span className="pill-btn" style={{ ...sans; fontSize: 13; color: c.white; borderRadius: 999; border: '1px solid rgba(255;255;255;0.35)'; padding: '14px 32px' }}>Secondary</span>
app/style/page.tsx,4935,#FEF2F2 | #FECACA,,<div key={use.title} style={{ background: use.title === 'Do not use' ? '#FEF2F2' : c.cream; borderRadius: 12; padding: '20px 24px'; border: `1px solid ${use.title === 'Do not use' ? '#FECACA' : c.bone}` }}>
app/style/page.tsx,4936,#B91C1C,,<p style={{ ...sansMed; fontSize: 13; color: use.title === 'Do not use' ? '#B91C1C' : c.dark }}>{use.title}</p>
app/style/page.tsx,4948,rgba(255;255;255;0.35) | rgba(34;16;16;0.08),,<div style={{ background: 'rgba(255;255;255;0.35)'; border: '1px solid rgba(34;16;16;0.08)'; borderRadius: 12; backdropFilter: 'blur(24px)'; padding: 24; maxWidth: 320; textAlign: 'center'; position: 'relative'; zIndex: 1 }}>
app/style/page.tsx,4950,rgba(34;16;16;0.06),,<p style={{ ...sans; fontSize: 13; color: c.n600; marginTop: 8 }}>Glass tint should be warm and subtle. Use rgba(34;16;16;0.06).</p>
app/style/page.tsx,4954,#221010,,<div style={{ borderRadius: 12; overflow: 'hidden'; background: '#221010'; padding: 32; position: 'relative'; minHeight: 200; display: 'flex'; alignItems: 'center'; justifyContent: 'center' }}>
